	lon	lat
	23.4331678	37.7319744
	23.4331681	37.7320349
	23.4331399	37.7321788
	23.4331563	37.7322446
	23.4334095	37.7322952
	23.4334243	37.7322982
	23.4334472	37.7323027
	23.4334657	37.7323224
	23.4335857	37.7324132
	23.4338488	37.7323665
	23.4340853	37.7320709
	23.4341601	37.7318417
	23.4338158	37.7317749
	23.4338185	37.7317358
	23.4340793	37.7313669
	23.4340603	37.7312265
	23.4342295	37.7307173
	23.4341169	37.7303945
	23.4338755	37.7298429
	23.4338325	37.7295587
	23.4338379	37.7293423
	23.43392	37.7292073
	23.4341329	37.7289063
	23.4348271	37.7284324
	23.4348652	37.7284102
	23.435797	37.727863
	23.4359713	37.7276808
	23.4361076	37.7274218
	23.4362556	37.7273167
	23.4364785	37.7273109
	23.4366722	37.7271755
	23.4369195	37.7271042
	23.4371555	37.7270912
	23.4373299	37.7271494
	23.4376202	37.7271379
	23.4399729	37.7264636
	23.4408191	37.726337
	23.4417234	37.7261381
	23.4425842	37.7258857
	23.4432618	37.7255624
	23.4436728	37.7252607
	23.4439525	37.7251883
	23.4442361	37.7251376
	23.4443518	37.7250182
	23.4449463	37.7248626
	23.4449867	37.7248013
	23.4451892	37.7248528
	23.4452026	37.7249207
	23.4452343	37.7249644
	23.4452921	37.7250161
	23.4453956	37.7250581
	23.4455307	37.7250771
	23.4458685	37.7250654
	23.4459463	37.7250368
	23.4462317	37.724958
	23.4465564	37.7250537
	23.4469017	37.7250264
	23.4474294	37.7249757
	23.4476365	37.7248977
	23.4478436	37.7249016
	23.4480359	37.7247729
	23.4481494	37.724753
	23.4483235	37.724727
	23.4491451	37.7243152
	23.4504525	37.7239615
	23.4516213	37.723825
	23.4526816	37.7232633
	23.4537079	37.7225907
	23.4552723	37.7218019
	23.4558419	37.7213737
	23.4571224	37.720874
	23.4580294	37.7204045
	23.4583804	37.7200612
	23.4586222	37.7197446
	23.4587432	37.7195404
	23.4588012	37.7194426
	23.4588851	37.7192795
	23.4588648	37.7190977
	23.459043	37.7190154
	23.4591231	37.7189239
	23.4591629	37.7188787
	23.4592332	37.7187013
	23.4592463	37.7186105
	23.4593119	37.7184292
	23.4594024	37.7181792
	23.4594684	37.7179969
	23.459487	37.7179456
	23.4596497	37.7178974
	23.4597853	37.7177418
	23.45987	37.7174523
	23.4597615	37.7173745
	23.4598836	37.7172592
	23.4600296	37.7169828
	23.4600943	37.7168121
	23.4600219	37.7167588
	23.4600779	37.716708
	23.4602885	37.716859
	23.460441	37.7168965
	23.4608308	37.7168671
	23.4613717	37.7167768
	23.4613776	37.71672
	23.4613957	37.7165456
	23.4613968	37.716376
	23.4618964	37.7156454
	23.4619134	37.7155408
	23.4620117	37.7153746
	23.4619676	37.7152647
	23.4621608	37.71527
	23.4623642	37.7152191
	23.4625608	37.7151038
	23.4627709	37.7148839
	23.4629302	37.7146051
	23.4630183	37.7141868
	23.4631346	37.7139058
	23.462981	37.7131143
	23.462815	37.7123501
	23.4627517	37.7117516
	23.4626997	37.7112615
	23.4631514	37.7107512
	23.4634318	37.7106555
	23.4637528	37.7103995
	23.4643165	37.7099409
	23.4645605	37.7096178
	23.4648554	37.709347
	23.464921	37.7088867
	23.4648961	37.708379
	23.4647774	37.7077032
	23.4648927	37.7072045
	23.4652214	37.7064671
	23.4650655	37.7061909
	23.4648994	37.7059468
	23.4646825	37.7057001
	23.4645198	37.7056036
	23.4643987	37.7055832
	23.4645614	37.7051863
	23.4646089	37.7053097
	23.4647648	37.7052829
	23.4649275	37.7052024
	23.4649749	37.7049503
	23.4648732	37.7047465
	23.4645076	37.7045278
	23.4639932	37.7042266
	23.4639928	37.7039032
	23.4641292	37.7034633
	23.4643012	37.7033863
	23.4644096	37.7034233
	23.4644811	37.7033824
	23.4648482	37.7031718
	23.4653633	37.7027877
	23.4657329	37.7024212
	23.466139	37.7021645
	23.4664426	37.7019669
	23.466551	37.701965
	23.4667481	37.7018519
	23.4667891	37.7017941
	23.4669453	37.7017836
	23.4675219	37.7014658
	23.4676851	37.701345
	23.4677012	37.7013351
	23.4677328	37.7013182
	23.4680406	37.701141
	23.4683031	37.7008813
	23.4684866	37.7000408
	23.4686713	37.6998312
	23.4688142	37.6994066
	23.4684219	37.698882
	23.468205	37.6987286
	23.4680864	37.6986395
	23.4680146	37.6985609
	23.4679905	37.6984909
	23.4680456	37.6984234
	23.468246	37.6982304
	23.4681869	37.6981173
	23.4678304	37.697546
	23.4676102	37.697468
	23.4673466	37.6973101
	23.4671149	37.6973335
	23.4669868	37.6972789
	23.4668611	37.6974134
	23.466287	37.6975285
	23.4655896	37.6975674
	23.4650621	37.6975425
	23.4642515	37.6973003
	23.4639176	37.6971104
	23.4633902	37.696634
	23.4633972	37.6964547
	23.4636794	37.6962203
	23.4641185	37.6958563
	23.4646029	37.6955061
	23.4646134	37.6953585
	23.464659	37.6952901
	23.4648047	37.6952032
	23.4648153	37.6951448
	23.4648291	37.6950681
	23.4648152	37.694922
	23.4647734	37.6947951
	23.4646931	37.6946939
	23.4646619	37.6946545
	23.4645329	37.6945635
	23.4643437	37.6945124
	23.463592	37.6945194
	23.4627591	37.6946021
	23.4624942	37.6945524
	23.4620482	37.6946738
	23.4614766	37.69474
	23.4598178	37.6949771
	23.4585756	37.6948661
	23.4579595	37.6948553
	23.4573632	37.6947988
	23.4572203	37.6947403
	23.4571045	37.6946389
	23.4558445	37.6944062
	23.4544037	37.6939974
	23.4538295	37.6938512
	23.4532891	37.6937665
	23.4530689	37.6936945
	23.4522828	37.6937627
	23.4518012	37.6937578
	23.4513761	37.6937863
	23.4511912	37.6937445
	23.4510663	37.6936894
	23.450939	37.693716
	23.4507735	37.6938046
	23.4503596	37.6938384
	23.4494836	37.6939099
	23.4493107	37.6938985
	23.4492128	37.6937961
	23.4490975	37.6937225
	23.4489241	37.6936229
	23.4488784	37.6936647
	23.4488328	37.6936343
	23.4487776	37.6936054
	23.4487091	37.6936091
	23.4486911	37.6936704
	23.4486431	37.6936118
	23.4486751	37.6933721
	23.4488075	37.6931275
	23.4489604	37.6929783
	23.4491696	37.6928421
	23.4499114	37.6925792
	23.4505369	37.6922268
	23.4512886	37.6917743
	23.45126	37.6917198
	23.451348	37.6916722
	23.4513956	37.6916923
	23.451562	37.6916278
	23.4517374	37.6915161
	23.4515145	37.6912288
	23.4515057	37.6911401
	23.451506	37.6909383
	23.4515753	37.6909329
	23.4517052	37.6911477
	23.4518771	37.6914374
	23.4525563	37.6911709
	23.4523777	37.6907758
	23.4524239	37.6907601
	23.4524283	37.6907586
	23.4524728	37.6907435
	23.4526607	37.6911391
	23.4532902	37.6910644
	23.4533287	37.6910529
	23.4536156	37.6909861
	23.4536507	37.6909772
	23.4540447	37.6908795
	23.4541594	37.6908512
	23.4542362	37.6905155
	23.4541953	37.6901713
	23.4541171	37.6899833
	23.454015	37.6898031
	23.4539185	37.6897207
	23.4537744	37.6896637
