	lon	lat
	23.4379622	37.8830559
	23.4382068	37.8827474
	23.4392694	37.8821561
	23.4402175	37.8818244
	23.4404581	37.8804948
	23.440339	37.880369
	23.4402421	37.8803062
	23.4400885	37.8802876
	23.4400655	37.8803134
	23.440124	37.8803687
	23.4400926	37.8803779
	23.4398276	37.8802802
	23.4392951	37.8799883
	23.4393337	37.879364
	23.4393667	37.8791798
	23.4395304	37.8789367
	23.4395348	37.8784657
	23.4391765	37.8779394
	23.438778	37.8776028
	23.4387201	37.8774138
	23.4388477	37.8771708
	23.4390098	37.8769746
	23.4390849	37.8769357
	23.4391994	37.876943
	23.439606	37.877071
	23.440101	37.8771591
	23.4406492	37.8771571
	23.440912	37.8770876
	23.4409698	37.8770489
	23.4409836	37.8769796
	23.4410278	37.8768948
	23.4410715	37.8768368
	23.4411303	37.8768045
	23.4414912	37.8767677
	23.4417174	37.8767721
	23.4417534	37.8768023
	23.4417527	37.8768312
	23.4417038	37.8768555
	23.4415494	37.8768418
	23.4412134	37.8768742
	23.4411548	37.876894
	23.4411127	37.8769343
	23.4410807	37.8769902
	23.4410847	37.8770361
	23.4411382	37.8771303
	23.4412322	37.8771911
	23.4413928	37.8772589
	23.4415635	37.8772894
	23.4416808	37.8772911
	23.4417182	37.8772822
	23.4417582	37.8772516
	23.4416976	37.8770809
	23.4417235	37.8770563
	23.4417711	37.8770709
	23.4418843	37.8773445
	23.4419303	37.8773867
	23.4421733	37.8773916
	23.4424452	37.8772986
	23.4429091	37.8770624
	23.4431909	37.876791
	23.4432934	37.8765733
	23.4432725	37.8763852
	23.44321	37.8762582
	23.4432189	37.8761218
	23.4433529	37.8758044
	23.44344	37.8755767
	23.4434602	37.8752612
	23.4435168	37.8751718
	23.4435376	37.8750778
	23.44349	37.8750143
	23.44335	37.8749837
	23.4432576	37.8749155
	23.4432636	37.8747674
	23.4432189	37.874591
	23.4431176	37.8744499
	23.4431057	37.8743229
	23.4431553	37.8742464
	23.4434036	37.8742007
	23.4435734	37.8741442
	23.444059	37.8741066
	23.4441692	37.8741842
	23.4444101	37.8742184
	23.444448	37.874384
	23.4446354	37.8744253
	23.4447852	37.8745117
	23.4447494	37.8745983
	23.4449657	37.8747035
	23.4449765	37.8748708
	23.4451314	37.8749437
	23.4451091	37.8753361
	23.4450051	37.8754834
	23.4451439	37.8756229
	23.4450361	37.8757056
	23.4450778	37.8758373
	23.4451939	37.8759407
	23.4454352	37.8760254
	23.4458463	37.8760865
	23.4462813	37.8760701
	23.4465909	37.8760114
	23.4469009	37.8758914
	23.4471511	37.8757291
	23.4472762	37.8755575
	23.4473984	37.8753505
	23.4474818	37.8752753
	23.4477052	37.8751483
	23.4479518	37.8749031
	23.448625	37.8737553
	23.4482909	37.8736702
	23.4481997	37.8735934
	23.4481898	37.8735245
	23.4482182	37.8734792
	23.4481673	37.8734799
	23.4481495	37.8734612
	23.4481625	37.8734397
	23.4482615	37.8734136
	23.4483473	37.8734162
	23.4484915	37.8734096
